City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
37,geraldton,-28.7667,114.6,20.23,77,8,7.2,AU,1706462261
38,georgetown,5.4112,100.3354,28.86,79,20,5.14,MY,1706462111
39,dudinka,69.4058,86.1778,-12.4,93,100,8.49,RU,1706462261
40,puerto natales,-51.7236,-72.4875,20.25,34,75,11.32,CL,1706462136
41,fortaleza,-3.7227,-38.5247,33.37,72,40,8.75,BR,1706462033
42,kodiak,57.79,-152.4072,-10.27,67,0,7.2,US,1706462262
43,nemuro,43.3236,145.575,0.13,87,95,6.6,JP,1706462262
44,namibe,-15.1961,12.1522,25.16,73,5,5.12,AO,1706462262
45,mpulungu,-8.7623,31.1141,23.71,84,100,1.08,ZM,1706462262
46,whitehorse,60.7161,-135.0538,3.43,70,75,8.75,CA,1706462262
47,papatowai,-46.5619,169.4708,12.43,87,90,1.64,NZ,1706462262
48,kavieng,-2.5744,150.7967,27.1,83,100,4.56,PG,1706462262
49,punta del este,-34.9667,-54.95,27.06,80,40,7.72,UY,1706462263
50,newman,37.3138,-121.0208,11.83,71,99,0.9,US,1706462263
51,arteche,12.2645,125.4048,24.35,83,96,7.51,PH,1706462263
52,bredasdorp,-34.5322,20.0403,22.47,62,97,5.68,ZA,1706462263
53,stanley,54.868,-1.6985,7.77,85,20,1.03,GB,1706462263
54,carnarvon,-24.8667,113.6333,22.68,78,0,9.39,AU,1706462263
55,isafjordur,66.0755,-23.124,-1.98,80,100,7.2,IS,1706462263
56,castlegar,49.2998,-117.6689,5.72,100,100,0.4,CA,1706462263
57,newnan,33.3807,-84.7997,9.97,78,100,3.6,US,1706462150
58,lubumbashi,-11.6609,27.4794,19.74,93,47,1.27,CD,1706462264
59,sernancelhe,40.921,-7.5123,15.17,73,100,1.32,PT,1706462264
60,nagqu,31.5,92.0,-14.89,52,70,0.34,CN,1706462264
61,happy valley-goose bay,53.3168,-60.3315,-13.83,66,100,5.66,CA,1706462264
62,ocean city,39.2776,-74.5746,6.68,92,100,6.26,US,1706462264
63,invercargill,-46.4,168.35,11.12,96,69,1.79,NZ,1706462264
64,talnakh,69.4865,88.3972,-12.66,94,100,5.61,RU,1706462264
65,waingapu,-9.6567,120.2641,26.03,85,98,3.06,ID,1706462265
66,dryden,49.7833,-92.7503,-3.84,93,100,3.6,CA,1706462265
67,touros,-5.1989,-35.4608,29.79,64,100,6.65,BR,1706462265
68,pyt-yakh,60.7499,72.8582,-19.08,100,97,1.27,RU,1706462265
69,rongelap,11.1635,166.8941,25.26,72,100,5.65,MH,1706462265
70,ponta delgada,37.7333,-25.6667,15.4,58,20,6.17,PT,1706462265
71,toulepleu guere,6.574,-8.4259,35.27,13,6,1.2,CI,1706462265
72,longyearbyen,78.2186,15.6401,-10.09,79,20,3.09,SJ,1706462143
73,east london,-33.0153,27.9116,25.52,88,0,2.57,ZA,1706462266
74,pionerskiy,54.9508,20.2275,2.86,90,52,4.3,RU,1706462266
75,ayacucho,-13.1583,-74.2239,23.92,35,75,0.51,PE,1706461978
76,ancud,-41.8697,-73.8203,16.36,57,61,2.78,CL,1706462266
77,namp'o,38.7375,125.4078,-6.66,90,4,0.13,KP,1706462266
78,ola,59.5833,151.2833,-25.09,81,35,2.57,RU,1706462266
79,santiago de cao,-7.9589,-79.2392,25.07,78,0,6.17,PE,1706462266
80,teotlaltzingo,19.2333,-98.4833,14.97,51,75,2.57,MX,1706462266
81,saint croix,17.7397,-64.7388,30.25,63,20,6.69,VI,1706462266
82,mushie,-3.0167,16.9,29.81,55,99,0.67,CD,1706462267
83,laguna,38.421,-121.4238,16.47,94,0,2.06,US,1706462267
84,selty,57.3132,52.1345,-13.12,99,92,1.4,RU,1706462267
85,puerto ayora,-0.7393,-90.3518,30.98,71,71,4.2,EC,1706462267
86,la ronge,55.1001,-105.2842,-4.86,86,75,2.57,CA,1706462267
